id,listing_url,host_since,neighbourhood,room_type,guests_included,total_amenities,Bed linens,Buzzer/wireless intercom,Cable TV,Carbon monoxide detector,Coffee maker,Cooking basics,Dishes and silverware,Dishwasher,Dryer,Elevator,Extra pillows and blankets,Family/kid friendly,Fire extinguisher,First aid kit,Free street parking,Hair dryer,Hangers,Host greets you,Hot water,Internet,Iron,Laptop friendly workspace,Lock on bedroom door,Long term stays allowed,Luggage dropoff allowed,Microwave,Oven,Patio or balcony,Pets allowed,Private entrance,Private living room,Refrigerator,Shampoo,Smoke detector,Smoking allowed,Stove,TV,Washer,translation missing: en.hosting_amenity_50,price
24569,https://www.airbnb.com/rooms/24569,2010-03-27,Prenzlauer Berg,Entire home/apt,2,11,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,90.0
25653,https://www.airbnb.com/rooms/25653,2010-03-27,Prenzlauer Berg,Entire home/apt,2,10,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,90.0
26543,https://www.airbnb.com/rooms/26543,2010-04-23,Prenzlauer Berg,Entire home/apt,6,27,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,269.0
28156,https://www.airbnb.com/rooms/28156,2009-11-18,Prenzlauer Berg,Entire home/apt,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,70.0
29279,https://www.airbnb.com/rooms/29279,2009-11-14,Prenzlauer Berg,Entire home/apt,2,18,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,65.0
30295,https://www.airbnb.com/rooms/30295,2011-04-05,Prenzlauer Berg,Entire home/apt,4,22,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,100.0
31440,https://www.airbnb.com/rooms/31440,2010-05-30,Prenzlauer Berg,Private room,1,14,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,37.0
33043,https://www.airbnb.com/rooms/33043,2010-06-12,Moabit,Entire home/apt,2,21,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,62.0
36480,https://www.airbnb.com/rooms/36480,2010-07-02,Charlottenburg,Private room,1,13,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,40.0
37052,https://www.airbnb.com/rooms/37052,2010-06-21,Mitte,Entire home/apt,1,17,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,58.0
37836,https://www.airbnb.com/rooms/37836,2010-10-27,Kreuzberg,Private room,1,16,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,39.0
38074,https://www.airbnb.com/rooms/38074,2010-07-11,Prenzlauer Berg,Entire home/apt,2,17,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,84.0
38296,https://www.airbnb.com/rooms/38296,2010-07-12,Neukölln,Entire home/apt,2,9,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,80.0
40720,https://www.airbnb.com/rooms/40720,2010-07-21,Prenzlauer Berg,Entire home/apt,2,15,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,70.0
41217,https://www.airbnb.com/rooms/41217,2010-07-24,Prenzlauer Berg,Private room,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,43.0
41306,https://www.airbnb.com/rooms/41306,2010-07-25,Prenzlauer Berg,Private room,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40.0
42742,https://www.airbnb.com/rooms/42742,2010-10-27,Kreuzberg,Private room,1,19,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,36.0
42809,https://www.airbnb.com/rooms/42809,2010-07-31,Friedrichshain,Entire home/apt,2,22,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,119.0
44083,https://www.airbnb.com/rooms/44083,2010-08-06,Alt-Treptow,Private room,2,22,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,42.0
44423,https://www.airbnb.com/rooms/44423,2010-08-08,Friedrichshain,Private room,1,9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,56.0
47938,https://www.airbnb.com/rooms/47938,2010-08-31,Prenzlauer Berg,Entire home/apt,1,20,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,169.0
54952,https://www.airbnb.com/rooms/54952,2010-10-11,Mitte,Private room,1,26,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,47.0
55853,https://www.airbnb.com/rooms/55853,2010-10-17,Charlottenburg,Entire home/apt,1,19,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,55.0
56357,https://www.airbnb.com/rooms/56357,2009-05-16,Prenzlauer Berg,Private room,1,10,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,33.0
56960,https://www.airbnb.com/rooms/56960,2010-09-27,Prenzlauer Berg,Entire home/apt,1,8,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,49.0
57049,https://www.airbnb.com/rooms/57049,2009-11-14,Prenzlauer Berg,Entire home/apt,5,22,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,230.0
57209,https://www.airbnb.com/rooms/57209,2010-10-27,Mitte,Entire home/apt,2,19,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,80.0
58780,https://www.airbnb.com/rooms/58780,2010-11-08,Prenzlauer Berg,Entire home/apt,1,17,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,120.0
62613,https://www.airbnb.com/rooms/62613,2010-09-08,Kreuzberg,Entire home/apt,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,85.0
63052,https://www.airbnb.com/rooms/63052,2010-12-02,Neukölln,Private room,1,14,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,37.0
63468,https://www.airbnb.com/rooms/63468,2010-12-04,Kreuzberg,Entire home/apt,1,15,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,52.0
64014,https://www.airbnb.com/rooms/64014,2010-12-08,Mitte,Entire home/apt,2,6,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,150.0
64245,https://www.airbnb.com/rooms/64245,2010-12-07,Prenzlauer Berg,Private room,1,19,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,55.0
64590,https://www.airbnb.com/rooms/64590,2010-12-11,Kreuzberg,Entire home/apt,2,21,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,118.0
68448,https://www.airbnb.com/rooms/68448,2010-07-11,Prenzlauer Berg,Entire home/apt,2,20,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,84.0
72079,https://www.airbnb.com/rooms/72079,2010-10-14,Charlottenburg,Entire home/apt,2,25,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,80.0
73302,https://www.airbnb.com/rooms/73302,2011-02-08,Schöneberg,Entire home/apt,2,23,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,69.0
74614,https://www.airbnb.com/rooms/74614,2011-02-15,Prenzlauer Berg,Entire home/apt,4,7,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,185.0
80843,https://www.airbnb.com/rooms/80843,2011-03-12,Schmargendorf,Entire home/apt,1,30,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,49.0
81049,https://www.airbnb.com/rooms/81049,2010-09-30,Mitte,Entire home/apt,2,14,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,155.0
81081,https://www.airbnb.com/rooms/81081,2011-03-06,Prenzlauer Berg,Entire home/apt,1,19,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,66.0
82893,https://www.airbnb.com/rooms/82893,2011-03-19,Mitte,Entire home/apt,1,18,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,75.0
83183,https://www.airbnb.com/rooms/83183,2011-03-20,Prenzlauer Berg,Entire home/apt,1,22,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,53.0
83568,https://www.airbnb.com/rooms/83568,2011-03-21,Prenzlauer Berg,Entire home/apt,2,20,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,99.0
83614,https://www.airbnb.com/rooms/83614,2011-03-22,Prenzlauer Berg,Entire home/apt,2,30,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,190.0
87549,https://www.airbnb.com/rooms/87549,2010-02-14,Kreuzberg,Private room,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,51.0
89102,https://www.airbnb.com/rooms/89102,2011-04-05,Prenzlauer Berg,Entire home/apt,2,17,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,120.0
91290,https://www.airbnb.com/rooms/91290,2011-02-08,Neukölln,Entire home/apt,1,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60.0
102882,https://www.airbnb.com/rooms/102882,2010-02-27,Kreuzberg,Entire home/apt,8,18,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,506.0
103602,https://www.airbnb.com/rooms/103602,2011-03-04,Prenzlauer Berg,Private room,1,12,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,45.0
106331,https://www.airbnb.com/rooms/106331,2011-05-02,Prenzlauer Berg,Entire home/apt,2,19,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,85.0
111579,https://www.airbnb.com/rooms/111579,2011-05-09,Mitte,Entire home/apt,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,170.0
113298,https://www.airbnb.com/rooms/113298,2008-08-15,Charlottenburg,Entire home/apt,2,16,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,62.0
114763,https://www.airbnb.com/rooms/114763,2011-05-12,Schöneberg,Entire home/apt,1,26,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,135.0
116057,https://www.airbnb.com/rooms/116057,2011-05-14,Halensee,Entire home/apt,2,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80.0
116832,https://www.airbnb.com/rooms/116832,2011-05-15,Kreuzberg,Entire home/apt,1,15,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,70.0
117649,https://www.airbnb.com/rooms/117649,2011-05-16,Kreuzberg,Entire home/apt,2,24,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,68.0
127708,https://www.airbnb.com/rooms/127708,2011-05-27,Mitte,Entire home/apt,2,27,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,89.0
135097,https://www.airbnb.com/rooms/135097,2011-06-04,Schöneberg,Entire home/apt,3,26,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,119.0
138955,https://www.airbnb.com/rooms/138955,2011-06-08,Kreuzberg,Entire home/apt,2,7,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,75.0
139769,https://www.airbnb.com/rooms/139769,2011-06-09,Mitte,Private room,1,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,42.0
143605,https://www.airbnb.com/rooms/143605,2011-06-13,Neukölln,Entire home/apt,2,17,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,55.0
147253,https://www.airbnb.com/rooms/147253,2011-06-17,Prenzlauer Berg,Entire home/apt,2,13,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,55.0
147339,https://www.airbnb.com/rooms/147339,2011-06-17,Schöneberg,Entire home/apt,1,27,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,55.0
147564,https://www.airbnb.com/rooms/147564,2011-06-17,Neukölln,Entire home/apt,1,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,31.0
147953,https://www.airbnb.com/rooms/147953,2011-06-17,Schöneberg,Entire home/apt,1,9,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,30.0
149849,https://www.airbnb.com/rooms/149849,2011-06-20,Mitte,Private room,2,28,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,40.0
151249,https://www.airbnb.com/rooms/151249,2011-06-21,Kreuzberg,Entire home/apt,1,26,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,81.0
153015,https://www.airbnb.com/rooms/153015,2011-06-23,Prenzlauer Berg,Private room,2,17,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,52.0
154433,https://www.airbnb.com/rooms/154433,2011-06-25,Neukölln,Private room,1,17,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,52.0
155048,https://www.airbnb.com/rooms/155048,2011-06-26,Prenzlauer Berg,Entire home/apt,2,13,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,100.0
156010,https://www.airbnb.com/rooms/156010,2011-06-27,Mitte,Entire home/apt,2,12,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,36.0
157839,https://www.airbnb.com/rooms/157839,2011-06-06,Moabit,Private room,1,20,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,36.0
159454,https://www.airbnb.com/rooms/159454,2011-04-11,Wilmersdorf,Entire home/apt,1,29,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,161.0
163411,https://www.airbnb.com/rooms/163411,2011-07-05,Kreuzberg,Entire home/apt,2,22,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,110.0
166715,https://www.airbnb.com/rooms/166715,2011-07-08,Rummelsburg,Private room,1,25,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,30.0
168615,https://www.airbnb.com/rooms/168615,2011-07-11,Heinersdorf,Entire home/apt,1,18,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,49.0
169907,https://www.airbnb.com/rooms/169907,2011-07-12,Friedenau,Private room,1,9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,30.0
170582,https://www.airbnb.com/rooms/170582,2011-07-13,Wilmersdorf,Private room,1,24,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,23.0
170652,https://www.airbnb.com/rooms/170652,2011-07-13,Wedding,Private room,1,22,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,40.0
171746,https://www.airbnb.com/rooms/171746,2011-07-14,Prenzlauer Berg,Entire home/apt,2,22,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,70.0
173153,https://www.airbnb.com/rooms/173153,2011-07-16,Prenzlauer Berg,Entire home/apt,1,27,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,80.0
174391,https://www.airbnb.com/rooms/174391,2011-07-18,Mitte,Private room,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,42.0
174547,https://www.airbnb.com/rooms/174547,2011-07-18,Mitte,Entire home/apt,2,25,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,96.0
174560,https://www.airbnb.com/rooms/174560,2011-07-18,Mitte,Entire home/apt,2,23,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,75.0
174576,https://www.airbnb.com/rooms/174576,2011-07-18,Mitte,Entire home/apt,2,11,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,96.0
174579,https://www.airbnb.com/rooms/174579,2011-07-18,Mitte,Entire home/apt,2,23,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,76.0
176342,https://www.airbnb.com/rooms/176342,2011-07-20,Kreuzberg,Entire home/apt,4,29,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,306.0
176355,https://www.airbnb.com/rooms/176355,2011-07-20,Kreuzberg,Entire home/apt,4,28,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,264.0
176396,https://www.airbnb.com/rooms/176396,2011-07-20,Reinickendorf,Private room,1,17,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,20.0
176852,https://www.airbnb.com/rooms/176852,2011-07-20,Kreuzberg,Entire home/apt,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,70.0
177486,https://www.airbnb.com/rooms/177486,2011-07-21,Wilmersdorf,Entire home/apt,2,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,59.0
178347,https://www.airbnb.com/rooms/178347,2011-07-22,Neukölln,Entire home/apt,1,15,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,75.0
